 2.88403150e+05 -7.25085578e-01  2.88403150e+05 -1.23974631e+02 
 3.01995172e+05 -4.74673215e-01  3.01995172e+05 -1.26053416e+02 
 3.16227766e+05 -2.32455215e-01  3.16227766e+05 -1.28152404e+02 
 3.31131121e+05  1.18108493e-03  3.31131121e+05 -1.30270907e+02 
 3.46736850e+05  2.25874544e-01  3.46736850e+05 -1.32408079e+02 
 3.63078055e+05  4.41292450e-01  3.63078055e+05 -1.34562932e+02 
 3.80189396e+05  6.47132383e-01  3.80189396e+05 -1.36734357e+02 
 3.98107171e+05  8.43123647e-01  3.98107171e+05 -1.38921143e+02 
 4.16869383e+05  1.02902817e+00  4.16869383e+05 -1.41122003e+02 
 4.36515832e+05  1.20464085e+00  4.36515832e+05 -1.43335595e+02 
 4.57088190e+05  1.36978923e+00  4.57088190e+05 -1.45560554e+02 
 4.78630092e+05  1.52433263e+00  4.78630092e+05 -1.47795509e+02 
 5.01187234e+05  1.66816060e+00  5.01187234e+05 -1.50039115e+02 
 5.24807460e+05  1.80119079e+00  5.24807460e+05 -1.52290073e+02 
 5.49540874e+05  1.92336630e+00  5.49540874e+05 -1.54547148e+02 
 5.75439937e+05  2.03465264e+00  5.75439937e+05 -1.56809190e+02 
 6.02559586e+05  2.13503426e+00  6.02559586e+05 -1.59075143e+02 
 6.30957344e+05  2.22451089e+00  6.30957344e+05 -1.61344060e+02 
 6.60693448e+05  2.30309375e+00  6.60693448e+05 -1.63615101e+02 
 6.91830971e+05  2.37080177e+00  6.91830971e+05 -1.65887541e+02 
 7.24435960e+05  2.42765788e+00  7.24435960e+05 -1.68160759e+02 
 7.58577575e+05  2.47368558e+00  7.58577575e+05 -1.70434237e+02 
 7.94328235e+05  2.50890586e+00  7.94328235e+05 -1.72707545e+02 
 8.31763771e+05  2.53333445e+00  8.31763771e+05 -1.74980329e+02 
 8.70963590e+05  2.54697969e+00  8.70963590e+05 -1.77252291e+02 
 9.12010839e+05  2.54984084e+00  9.12010839e+05 -1.79523170e+02 
 9.54992586e+05  2.54190710e+00  9.54992586e+05 -1.81792726e+02 
 1.00000000e+06  2.52315719e+00  1.00000000e+06 -1.84060711e+02 
 1.04712855e+06  2.49355957e+00  1.04712855e+06 -1.86326855e+02 
 1.09647820e+06  2.45307330e+00  1.09647820e+06 -1.88590842e+02 
 1.14815362e+06  2.40164952e+00  1.14815362e+06 -1.90852290e+02 
 1.20226443e+06  2.33923340e+00  1.20226443e+06 -1.93110738e+02 
 1.25892541e+06  2.26576664e+00  1.25892541e+06 -1.95365628e+02 
 1.31825674e+06  2.18119035e+00  1.31825674e+06 -1.97616296e+02 
 1.38038426e+06  2.08544825e+00  1.38038426e+06 -1.99861965e+02 
 1.44543977e+06  1.97849002e+00  1.44543977e+06 -2.02101743e+02 
 1.51356125e+06  1.86027481e+00  1.51356125e+06 -2.04334622e+02 
 1.58489319e+06  1.73077469e+00  1.58489319e+06 -2.06559485e+02 
 1.65958691e+06  1.58997789e+00  1.65958691e+06 -2.08775116e+02 
 1.73780083e+06  1.43789184e+00  1.73780083e+06 -2.10980216e+02 
 1.81970086e+06  1.27454578e+00  1.81970086e+06 -2.13173415e+02 
 1.90546072e+06  1.09999289e+00  1.90546072e+06 -2.15353299e+02 
 1.99526231e+06  9.14311900e-01  1.99526231e+06 -2.17518430e+02 
 2.08929613e+06  7.17607993e-01  2.08929613e+06 -2.19667372e+02 
 2.18776162e+06  5.10013141e-01  2.18776162e+06 -2.21798715e+02 
 2.29086765e+06  2.91685724e-01  2.29086765e+06 -2.23911104e+02 
 2.39883292e+06  6.28095201e-02  2.39883292e+06 -2.26003260e+02 
